t(s),Q'''(W/m^3)
0.0,0.0
0.10273668880749788,0.0
0.17538402435127337,312392.7272695661
0.2347015715913432,542559.2839184133
0.28607315360092916,768994.281738219
0.33202225867606633,994700.0260791681
0.3739687421039857,1220416.6878408706
0.41280445539916455,1446404.634737332
0.4491327019172756,1672772.5114537736
0.48338402069755654,1899569.6421831264
0.5158783573412999,2126818.877485414
0.5468611425131652,2354530.185705267
0.576525524027287,2582706.8860790995
0.6050267385764766,2811348.7543788557
0.6324917730297732,3040453.647372251
0.6590260744813888,3270018.4021274433
0.6847183410377967,3500039.3409246146
0.7096440242903603,3730512.5670639733
0.7338679430830845,3961434.1340552745
0.7574462695018144,4192800.1494534337
0.7804280620528281,4424606.824656101
0.8028564661415221,4656850.521487001
0.8247696660383749,4889527.75020618
0.8462016484486572,5122635.189596311
0.8671828213386847,5356169.674469447
0.8877405202001863,5590128.20102583
0.9078994258063966,5824507.921211322
0.9276819116657166,6059306.124998589
0.9471083351123548,6294520.24237844
0.9661972828204713,6530147.835672829
0.9849657791706695,6766186.587452793
1.0034294641153019,7002634.294193185
1.0216027458278776,7239488.861599151
1.0394989323725239,7476748.293814508
1.0571303458133836,7714410.691132619
1.0745084215439529,7952474.246080367
1.0916437951107676,8190937.227771046
1.1085463784034648,8429797.993670931
1.1252254267608268,8669054.96387166
1.1416895982824224,8908706.638635503
1.1579470064245319,9148751.574079543
1.1740052667869416,9389188.398725647
1.1898715388560248,9630015.789649338
1.2055525633531174,9871232.485022325
1.221054695740763,10112837.273052711
1.2363839363591156,10354828.991421793
1.2515459575976835,10597206.523242343
1.2665461284512496,10839968.801057387
1.2813895367613093,11083114.793931922
1.2960810094041841,11326643.50842756
1.3106251306528436,11570554.00239046
1.3250262589103812,11814845.355817465
1.3392885419882317,12059516.684938734
1.3534159310808773,12304567.149313645
1.3674121935704444,12549995.92597
1.3812809247787476,12795802.232543562
1.395025558770633,13041985.311516633
1.4086493783005758,13288544.429975435
1.4221555239841348,13535478.882601393
1.435547002766839,13782787.988960031
1.4488266957551839,14030471.096811099
1.4619973654674938,14278527.569846114
1.4750616625563304,14526956.801528823
1.488022132048766,14775758.195262361
1.500881219146125,15024931.187359026
1.5136412746206145,15274475.226580044
1.5263045598425702,15524389.778627424
1.5388732514687529,15774674.33426523
1.5513494458192167,16025328.393876234
1.5637351629676648,16276351.481512032
1.5760323505678866,16527743.130214289
1.5882428874367953,16779502.89225092
1.600368586912725,17031630.338188417
1.6124112000059792,17284125.04872268
1.6243724183571242,17536986.617589828
1.6362538770171777,17790214.656471282
1.648057157062621,18043808.782755163
1.659783788057075,18297768.63244064
1.6714352503704875,18552093.85574298
1.6830129773657843,18806784.10907366
1.6945183574621234,19061839.05782869
1.7059527360831612,19317258.390381586
1.7173174174980628,19573041.7891695
1.7286136665623906,19829188.966597907
1.7398427103654435,20085699.62807319
1.7510057397901189,20342573.49013794
1.7621039109909098,20599810.295101464
1.7731383467952264,20857409.775999513
1.7841101380328483,21115371.677581567
1.7950203447979638,21373695.76847057
1.8058699976479238,21632381.80773161
1.8166600987425499,21891429.568385366
1.827391622927558,22150838.83087118
1.8380655187654131,22410609.39271536
1.8486827095166978,22670741.04725751
1.8592440940748687,22931233.59421452
1.8697505478570782,23192086.85109872
1.8802029236535587,23453300.63315111
1.8906020524379017,23714874.760173198
1.9009487441404092,23976809.07489359
1.9112437883865538,24239103.407607842
1.9214879552024544,24501757.606091496
1.9316819956891456,24764771.51707612
1.941826642667317,25028145.000824627
1.951922611294085,25291877.913007714
1.9619705996532657,25555970.13120007
1.9719712893205268,25820421.51487945
1.9819253459047155,26085231.949421026
1.991833419566575,26350401.3177381
2.0016961455159965,26615929.511344153
2.011514144488879,26881816.41329927
2.021288023204614,27148061.93277657
2.0310183748051434,27414665.971356496
2.0407057792764953,27681628.435119838
2.050350803853641,27948949.2297642
2.059954003409472,28216628.279243574
2.069515920828657,28484665.503864203
2.0790370873670843,28753060.82755552
2.088518022997569,29021814.179567147
2.0979592367424558,29290925.496374656
2.1073612269937247,29560394.711813122
2.1167244818211643,29830221.75914199
2.126049479269154,30100406.60350205
2.1353366876425666,30370949.17224141
2.14458656578227,30641849.429759115
2.153799563330694,30913107.332074564
2.1629761209878913,31184722.83563528
2.1721166707585056,31456695.900299583
2.1812216361900405,31729026.49868883
2.1902914326027996,32001714.594825745
2.1993264673118507,32274760.16600134
2.208327139841351,32548163.187716898
2.2172938421315496,32821923.630932543
2.2262269587387733,33096041.490864918
2.2351268670286832,33370516.740605406
2.243993937363076,33645349.37267988
2.252828533280494,33920539.37789048
2.2616310116708886,34196086.75574636
2.2704017229445808,34471991.49310211
2.279141011195738,34748253.587505594
2.2878492143605893,35024873.0517285
2.296526664370578,35301849.88601369
2.3051736873006563,35579184.0953766
2.3137906035129006,35856875.68773881
2.322377727795633,36134924.67208316
2.330935369498217,36413331.0763685
2.3394638326616906,36692094.906451724
2.3479634161453915,36971216.177088425
2.3564344137497293,37250694.92368717
2.36487711433524,37530531.16099495
2.373291801938062,37810724.921294324
2.3816787558819694,38091276.21956977
2.3900382508870748,38372185.098852985
2.398370557175338,38653451.588662796
2.406675940572981,38935075.723682575
2.4149546626099245,39217057.535643116
2.423206980616353,39499397.07238102
2.431433147816508,39782094.36254477
2.4396334134198034,40065149.455193035
2.4478080227093577,40348562.39819445
2.4559572171280335,40632333.23697864
2.4640812343620686,40916462.013300136
2.4721803084223772,41200948.78487114
2.4802546697236063,41485793.60354941
2.4883045451610166,41770996.51413731
2.496330158185266,42056557.581255734
