t(s),Q'''(W/m^3)
0.0,0.0
0.10273668880749788,0.0
0.17538402435127337,312392.7272695661
0.2347015715913432,542559.2839184133
0.28607315360092916,768994.281738219
0.33202225867606633,994700.0260791681
0.3739687421039857,1220416.6878408706
0.41280445539916455,1446404.634737332
0.4491327019172756,1672772.5114537736
0.48338402069755654,1899569.6421831264
0.5158783573412999,2126818.877485414
0.5468611425131652,2354530.185705267
0.576525524027287,2582706.8860790995
0.6050267385764766,2811348.7543788557
0.6324917730297732,3040453.647372251
0.6590260744813888,3270018.4021274433
0.6847183410377967,3500039.3409246146
0.7096440242903603,3730512.5670639733
0.7338679430830845,3961434.1340552745
0.7574462695018144,4192800.1494534337
0.7804280620528281,4424606.824656101
0.8028564661415221,4656850.521487001
0.8247696660383749,4889527.75020618
0.8462016484486572,5122635.189596311
0.8671828213386847,5356169.674469447
0.8877405202001863,5590128.20102583
0.9078994258063966,5824507.921211322
0.9276819116657166,6059306.124998589
0.9471083351123548,6294520.24237844
0.9661972828204713,6530147.835672829
0.9849657791706695,6766186.587452793
1.0034294641153019,7002634.294193185
1.0216027458278776,7239488.861599151
1.0394989323725239,7476748.293814508
1.0571303458133836,7714410.691132619
1.0745084215439529,7952474.246080367
1.0916437951107676,8190937.227771046
1.1085463784034648,8429797.993670931
1.1252254267608268,8669054.96387166
1.1416895982824224,8908706.638635503
1.1579470064245319,9148751.574079543
1.1740052667869416,9389188.398725647
1.1898715388560248,9630015.789649338
1.2055525633531174,9871232.485022325
1.221054695740763,10112837.273052711
1.2363839363591156,10354828.991421793
1.2515459575976835,10597206.523242343
1.2665461590131073,10835784.53958675
1.281391344717132,10832139.24996808
1.296087833990283,10828722.213476745
1.3106415092279757,10825512.848213905
1.325057857894201,10822492.976806348
1.3393420093794808,10819646.47982827
1.3534987675046841,10816959.022617966
1.3675326392874538,10814417.799875176
1.3814478604868723,10812011.355708873
1.3952484183595961,10809729.390094953
1.4089380719931648,10807562.632928409
1.422520370526574,10805502.704440752
1.4359986695221492,10803542.025794594
1.4493761457144438,10801673.718891712
1.4626558103298795,10799891.518336436
1.475840521143966,10798189.715415213
1.4889329934203035,10796563.103991004
1.5019358098564017,10795006.901961034
1.5148514296450886,10793516.731292441
1.5276821967464058,10792088.57966519
1.5404303474530354,10790718.731334921
