TIRF Data File: Project 1464; Run 32
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg C	none	SAE
43.400	40.06	568.86	0.035	0.022	21.724	18.686	85.56	1960.08	24.41	-903.44	8.37	17.66	-2.17	-0.03	31.75	76.91	87.63	87.75	27.56	0.163	0.183
43.420	40.04	568.75	0.025	0.022	21.722	18.676	85.61	1931.61	23.09	-912.01	18.23	10.55	-2.12	-0.03	31.75	76.88	87.79	87.83	27.54	0.163	0.184
43.440	40.02	568.51	0.037	0.024	21.716	18.675	85.56	1872.42	15.89	-901.00	23.86	15.74	-2.08	-0.02	31.75	76.89	87.85	87.84	27.55	0.163	0.184
43.460	40.00	568.20	0.038	0.022	21.712	18.677	85.51	1848.99	14.27	-883.88	19.24	24.96	-2.09	-0.02	31.76	76.91	87.77	87.75	27.54	0.163	0.184
43.480	39.98	568.12	0.034	0.018	21.724	18.673	85.51	1880.98	19.23	-877.28	10.72	27.36	-2.14	-0.02	31.75	76.95	87.74	87.70	27.55	0.163	0.184
43.500	39.96	568.20	0.031	0.021	21.715	18.659	85.51	1941.96	24.99	-896.56	7.39	21.39	-2.17	-0.03	31.77	76.95	87.80	87.77	27.55	0.164	0.185
43.520	39.95	568.20	0.034	0.025	21.709	18.655	85.56	1939.93	25.78	-913.38	15.62	11.61	-2.12	-0.03	31.76	76.95	87.94	87.75	27.53	0.164	0.185
43.540	39.93	568.04	0.031	0.021	21.723	18.649	85.56	1887.49	17.40	-906.44	23.63	14.31	-2.08	-0.02	31.78	76.92	87.99	87.61	27.57	0.165	0.186
43.560	39.92	567.81	0.032	0.021	21.723	18.655	85.45	1852.04	13.67	-887.00	20.68	22.65	-2.09	-0.02	31.77	76.89	87.91	87.49	27.55	0.164	0.185
43.580	39.94	567.73	0.037	0.022	21.718	18.664	85.56	1871.34	16.35	-875.67	12.44	28.24	-2.14	-0.02	31.79	76.88	87.90	87.38	27.55	0.164	0.185
43.600	39.95	567.73	0.035	0.022	21.714	18.670	85.61	1930.70	25.58	-888.01	6.40	24.04	-2.17	-0.03	31.79	76.85	87.91	87.49	27.54	0.163	0.184
43.620	39.97	567.81	0.034	0.021	21.715	18.674	85.61	1947.11	25.83	-911.03	12.05	12.92	-2.14	-0.03	31.80	76.88	88.05	87.70	27.54	0.163	0.184
