T,1st,2nd,3rd,4th
35.764,590.9434966,429.7770884,358.2192032,309.4395037
35.42,585.259441,425.6432298,354.7736321,306.4631255
34.989,578.1378482,420.4638896,350.456652,302.7340005
34.547,570.8344977,415.152362,346.0294937,298.9097006
34.025,562.2092739,408.8794719,340.8010398,294.3932198
33.414,552.1134659,401.5370661,334.6811446,289.1066876
32.795,541.8854706,394.0985241,328.4811198,283.7509373
31.958,528.0553703,384.0402693,320.0975645,276.5089939
31.175,515.1175346,374.6309342,312.2548837,269.7342726
30.322,501.0230596,364.380407,303.7110692,262.353893
